Rating,instructor
4,Martin
4,Martin
1,Martin
3,Martin
4,Martin
4,Martin
4,Martin
7,Martin
4,Martin
1,Martin
5,Martin
7,Martin
2,Martin
5,Martin
1,Martin
7,Martin
6,Martin
6,Martin
1,Martin
1,Martin
6,Martin
3,Martin
1,Martin
5,Martin
5,Martin
3,Martin
1,Martin
1,Martin
4,Martin
4,Martin
5,Martin
1,Martin
7,Martin
6,Kleinsmith
4,Kleinsmith
4,Kleinsmith
5,Kleinsmith
2,Kleinsmith
6,Kleinsmith
2,Kleinsmith
4,Kleinsmith
4,Kleinsmith
1,Kleinsmith
7,Kleinsmith
3,Kleinsmith
7,Kleinsmith
4,Kleinsmith
6,Kleinsmith
3,Kleinsmith
3,Kleinsmith
7,Kleinsmith
3,Kleinsmith
7,Kleinsmith
6,Kleinsmith
5,Kleinsmith
4,Kleinsmith
6,Kleinsmith
7,Kleinsmith
1,Kleinsmith
1,Kleinsmith
4,Kleinsmith
4,Kleinsmith
5,Kleinsmith
5,Kleinsmith
1,Kleinsmith
